AVAI                      -  1 Jogos    0 V    1 E    0 D     1 Gols Feitos    1 Gols Sofridos   
JOINVILLE                 -  1 Jogos    1 V    0 E    0 D     3 Gols Feitos    0 Gols Sofridos   
UBERLANDIA                -  1 Jogos    1 V    0 E    0 D     3 Gols Feitos    0 Gols Sofridos   
GUARANI MG                -  1 Jogos    1 V    0 E    0 D     2 Gols Feitos    0 Gols Sofridos   
CAMPINENSE                -  1 Jogos    1 V    0 E    0 D     3 Gols Feitos    2 Gols Sofridos   
TRICORDIANO               -  1 Jogos    1 V    0 E    0 D     2 Gols Feitos    1 Gols Sofridos   
SAO FRANCISCO/PA          -  1 Jogos    1 V    0 E    0 D     6 Gols Feitos    0 Gols Sofridos   
MURICI AL                 -  1 Jogos    1 V    0 E    0 D     3 Gols Feitos    0 Gols Sofridos   
NACIONAL PAR              -  1 Jogos    1 V    0 E    0 D     2 Gols Feitos    1 Gols Sofridos   
DEMOCRATA GV              -  1 Jogos    1 V    0 E    0 D     2 Gols Feitos    0 Gols Sofridos   

TOTAL DE GOLS: 369
